,endTime,artistName,trackName,msPlayed
0,2021-03-30 05:12,Sublime,Caress Me Down,7828.0
1,2021-04-05 22:55,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,258600.0
2,2021-04-05 22:58,Kevin Gates,Me Too,185759.0
3,2021-04-05 23:02,Spillage Village,"End Of Daze (with EARTHGANG & JID feat. Jurdan Bryant, Mereba & Hollywood JB)",253794.0
4,2021-04-05 23:04,Isaiah Rashad,Nelly,82616.0
5,2021-04-05 23:07,Afroman,Because I Got High,166905.0
6,2021-04-05 23:10,French Montana,Unforgettable,233901.0
7,2021-04-05 23:15,J-Kwon,Tipsy - Club Mix,243226.0
8,2021-04-05 23:17,Kendrick Lamar,HiiiPower,2739.0
9,2021-04-05 23:17,Drake,Portland,144421.0
10,2021-04-05 23:23,A$AP Rocky,Goldie,192066.0
11,2021-04-05 23:25,YBN Nahmir,Cake (feat. Wiz Khalifa),160335.0
12,2021-04-05 23:28,Morray,Quicksand,161726.0
13,2021-04-05 23:31,Lil Nas X,HOLIDAY,154997.0
14,2021-04-05 23:33,Lil Baby,On Me,135959.0
15,2021-04-05 23:35,24kGoldn,GAMES ON YOUR PHONE,107240.0
16,2021-04-10 22:27,Mac Miller,Kool Aid & Frozen Pizza,157540.0
17,2021-04-10 22:31,Damian Marley,"Medication (ft. Stephen Marley, Wiz Khalifa, Ty Dolla $ign) - Remix",245146.0
18,2021-04-10 22:32,Sublime,Santeria,64218.0
19,2021-04-10 22:33,The Offspring,Come Out and Play,39473.0
20,2021-04-10 22:36,311,Amber,205473.0
21,2021-04-10 22:36,M83,Midnight City,6594.0
22,2021-04-10 22:51,Panic! At The Disco,LA Devotee,143615.0
23,2021-04-10 22:51,Tones And I,Dance Monkey,5897.0
24,2021-04-10 22:55,Grouplove,Tongue Tied,214714.0
25,2021-04-10 22:58,Bob Marley & The Wailers,Natural Mystic,91927.0
26,2021-04-10 22:59,Bazzi,Fantasy,3645.0
27,2021-04-10 23:01,iann dior,gone girl,135767.0
28,2021-04-11 06:13,Shelley FKA DRAM,Cash Machine,154088.0
29,2021-04-11 06:14,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),36548.0
30,2021-04-11 06:14,Frank Ocean,Ivy,4272.0
